nome;telefone;endereco;link;categoria;horario;			
Tudo Da Roça Agropecuária;(33) 98731-9965;R. Davi Mussi, 182;https://www.facebook.com/100046525309219/?locale=pt_BR;Agro;Seg–Sáb 08:00–18:00;
Veterinária Agroboi;#;Novo Cruzeiro;https://www.instagram.com/agro.novocruzeiro/;Agro;Horário variável;
Loja Agropecuária Agrototal;(33) 98716-5075;Rua David Mussi, 139;https://www.instagram.com/_agrototalnc/;Agro;Seg–Sáb 08:00–19:00;
Casaes Materiais De Construção;(33) 3533-1455;R. Jacinto de Carvalho, 90;https://www.instagram.com/casaes_materiais_construcao/;Loja;Seg–Sáb 08:00–18:00;
Barreiro Materiais De Construção;(33) 3533-1680;Av. Júlio Campos, 621;#;Loja;Seg–Sáb 08:00–18:00;
Dica Materiais De Construção;(33) 99853-5004;Av. Júlio Campos, 530;#;Loja;Seg–Sáb 08:00–18:00;
Charita Mat. Construção;(33) 98826-6643;Av. Júlio Campos, 562;#;Loja;Seg–Sáb 08:00–18:00;
Gravatá Materiais De Construção;(33) 98726-4788;R. Joaquim Pereira, 115;#;Loja;Seg–Sáb 08:00–17:30;
Tip Top Materiais De Construção;(33) 98449-9755;Rua Joaquim Pereira, 213;#;Loja;Seg–Sáb 08:00–18:00;
Polícia Civil;(33) 3533-1412;R. Tancredo Neves, s/n;https://www.policiacivil.mg.gov.br/;Serviços;Horário variável;
Polícia Militar - Base;(33) 3533-1200;Av. Júlio Campos, 219;https://www.policiamilitar.mg.gov.br/;Serviços;24 horas;
Carvalho Advocacia;(33) 98876-2403;R. Tancredo Neves, 181;#;Serviços;Seg–Sex 08:00–18:00;
